name,male,frequency_score
祐輔,1.0,0.863
幸男,1.0,0.873
昌子,0.0,0.858
貴志,0.952,0.862
慶子,0.0,0.866
剛志,1.0,0.853
友紀,0.158,0.858
ひろし,0.95,0.865
拓真,1.0,0.862
和代,0.0,0.865
久子,0.0,0.861
修平,0.917,0.895
純平,1.0,0.857
浩子,0.148,0.879
隆太,1.0,0.857
清水,0.778,0.915
ひかり,0.208,0.87
亜希子,0.0,0.867
佐々木,0.76,0.873
俊一,0.939,0.889
絵美,0.0,0.86
なな,0.138,0.882
龍一,1.0,0.877
りょう,0.844,0.887
智哉,1.0,0.859
涼子,0.034,0.882
千秋,0.226,0.889
正博,0.957,0.869
美里,0.062,0.886
理沙,0.0,0.862
隆之,1.0,0.854
あやか,0.0,0.905
修一,1.0,0.854
静香,0.029,0.892
章子,0.0,0.864
雄二,1.0,0.864
かおる,0.286,0.864
律子,0.095,0.86
正和,0.974,0.897
ひろき,0.95,0.856
こうじ,1.0,0.872
賢人,1.0,0.851
一也,1.0,0.863
千鶴,0.043,0.869
けんじ,0.964,0.88
けいこ,0.056,0.851
隆志,1.0,0.873
昌弘,1.0,0.845
和哉,0.955,0.862
たけし,1.0,0.873
成美,0.192,0.877
ゆり,0.115,0.881
亮介,1.0,0.858
なお,0.28,0.872
りん,0.304,0.867
和幸,1.0,0.853
ともみ,0.0,0.881
有希,0.174,0.866
志保,0.1,0.879
祐樹,1.0,0.866
健人,1.0,0.868
圭子,0.0,0.856
真子,0.043,0.862
武志,1.0,0.852
秀幸,1.0,0.847
みなみ,0.048,0.855
真人,1.0,0.867
真司,1.0,0.846
泰子,0.0,0.854
貴大,1.0,0.841
憲一,0.958,0.864
千恵子,0.0,0.841
仁志,1.0,0.885
容子,0.042,0.868
奈津子,0.0,0.853
りか,0.034,0.878
哲平,1.0,0.859
哲郎,1.0,0.844
祐也,1.0,0.839
吉田,0.739,0.867
敏子,0.042,0.864
正美,0.5,0.855
圭吾,1.0,0.847
貴史,1.0,0.838
ゆい,0.0,0.877
将太,1.0,0.843
葉月,0.0,0.854
優美,0.019,0.898
ゆか,0.0,0.854
リン,0.29,0.882
まこと,0.652,0.865
誠一,1.0,0.849
菜々子,0.0,0.841
美優,0.0,0.867
幸雄,1.0,0.849
祐希,0.682,0.855
葉子,0.195,0.888
剛史,1.0,0.84
なつみ,0.0,0.848
莉奈,0.0,0.851
花子,0.19,0.851
光一,0.895,0.843
孝子,0.0,0.847
千夏,0.0,0.843
則子,0.0,0.834
秀和,0.875,0.862
聡子,0.0,0.847
良平,0.936,0.892
悠介,1.0,0.846
和則,1.0,0.831
一成,0.949,0.883
秀一,1.0,0.858
康夫,1.0,0.858
佳代,0.0,0.831
祐司,1.0,0.836
次郎,0.964,0.869
有美,0.0,0.855
真奈美,0.0,0.855
奈緒美,0.0,0.84
涼太,0.864,0.855
真衣,0.0,0.854
小百合,0.0,0.851
優樹,0.909,0.853
隆司,1.0,0.838
あき,0.379,0.87
正幸,1.0,0.828
ゆうた,0.955,0.852
圭介,0.854,0.882
一美,0.333,0.855
康太,1.0,0.837
りな,0.043,0.854
賢二,1.0,0.827
千晶,0.0,0.832
信也,0.944,0.837
栄一,1.0,0.837
瑞穂,0.176,0.832
和男,1.0,0.832
奈美,0.0,0.844
真央,0.176,0.836
信一,1.0,0.871
聖也,1.0,0.831
妙子,0.0,0.831
木村,0.714,0.866
亜美,0.05,0.846
大祐,1.0,0.849
美保,0.0,0.869
美緒,0.087,0.854
慎太郎,1.0,0.828
真奈,0.0,0.837
公一,1.0,0.822
あい,0.143,0.851
拓郎,1.0,0.828
隆一,1.0,0.837
隆史,1.0,0.832
りさ,0.0,0.832
誠也,1.0,0.832
真実,0.211,0.844
清子,0.045,0.849
義人,1.0,0.831
哲夫,0.864,0.849
瑞希,0.182,0.858
あおい,0.269,0.862
裕二,0.947,0.838
和之,0.938,0.825
岡田,0.556,0.834
圭佑,0.913,0.85
大和,1.0,0.866
佳代子,0.0,0.824
直輝,1.0,0.823
加奈,0.0,0.854
佑介,1.0,0.823
啓太,1.0,0.823
文子,0.107,0.859
和弘,1.0,0.832
純也,1.0,0.817
将人,1.0,0.817
龍之介,1.0,0.842
前田,0.867,0.816
真澄,0.19,0.842
あずさ,0.0,0.849
圭祐,1.0,0.816
優香,0.0,0.826
弘樹,1.0,0.844
祐一,1.0,0.837
健吾,1.0,0.825
和久,1.0,0.829
正彦,1.0,0.825
春美,0.057,0.888
利明,0.918,0.875
千里,0.641,0.868
有子,0.0,0.818
伸子,0.0,0.818
和人,1.0,0.847
晴香,0.0,0.828
真吾,1.0,0.839
和田,0.75,0.823
信之,0.95,0.838
幸夫,1.0,0.823
ヒロシ,1.0,0.823
倫子,0.056,0.831
さつき,0.045,0.844
美恵,0.0,0.864
亜紀,0.0,0.826
光子,0.167,0.831
万里子,0.0,0.81
誠司,1.0,0.81
ファビオ,1.0,0.84
正弘,1.0,0.842
ヒロ,0.778,0.836
達哉,0.941,0.825
正志,0.909,0.842
航大,1.0,0.809
理子,0.0,0.832
たか,0.7,0.841
康介,1.0,0.808
修司,1.0,0.824
拓馬,1.0,0.808
順一,1.0,0.823
由貴,0.071,0.807
陽一,1.0,0.818
裕貴,1.0,0.813
祐太,1.0,0.817
雅樹,1.0,0.817
晴彦,1.0,0.812
節子,0.0,0.811
なつき,0.056,0.825
啓介,1.0,0.829
景子,0.0,0.811
なおみ,0.0,0.858
けい,0.778,0.824
信行,1.0,0.827
秀雄,1.0,0.834
みのり,0.067,0.809
隆弘,1.0,0.827
慎一,1.0,0.814
慎一郎,1.0,0.803
周平,1.0,0.818
綾乃,0.0,0.808
彩子,0.0,0.818
英雄,0.967,0.88
正浩,1.0,0.863
俊彦,0.978,0.864
一夫,1.0,0.857
太陽,0.687,0.872
あみ,0.037,0.847
百合子,0.0,0.816
一男,1.0,0.848
美佐子,0.062,0.816
良一,1.0,0.823
たつや,0.941,0.823
貴博,1.0,0.804
ダニエル,1.0,0.858
美鈴,0.0,0.867
秀夫,1.0,0.822
友香,0.0,0.814
えりか,0.0,0.845
奈津美,0.0,0.796
千佳,0.0,0.813
えみ,0.0,0.825
和希,0.875,0.813
真紀子,0.0,0.821
ちひろ,0.038,0.841
たかひろ,1.0,0.813
英治,1.0,0.817
博美,0.267,0.812
竜一,1.0,0.795
和宏,1.0,0.816
克己,1.0,0.826
昌平,0.926,0.841
正道,0.957,0.834
健一郎,1.0,0.801
美津子,0.0,0.811
詩織,0.0,0.811
麻里,0.0,0.815
しのぶ,0.188,0.815
慎也,1.0,0.81
恵理子,0.0,0.8
俊樹,1.0,0.8
くん,0.737,0.827
聡美,0.0,0.805
翔大,1.0,0.793
美奈,0.0,0.853
弘幸,1.0,0.799
みほ,0.05,0.827
勇樹,0.929,0.798
信子,0.133,0.843
ありさ,0.059,0.813
宏明,0.976,0.854
晃一,1.0,0.808
俊輔,1.0,0.797
龍也,1.0,0.812
晴子,0.0,0.819
拓実,1.0,0.79
智恵美,0.0,0.79
あきこ,0.0,0.815
勇介,1.0,0.811
一彦,1.0,0.802
宏樹,0.944,0.815
こうき,0.933,0.802
文夫,1.0,0.789
康博,1.0,0.801
じゅん,0.857,0.823
敏明,0.875,0.832
美希,0.01,0.87
ともこ,0.0,0.808
つよし,0.786,0.799
克彦,0.929,0.798
正一,1.0,0.841
義明,0.968,0.84
貴弘,1.0,0.803
英一,1.0,0.798
尚人,0.909,0.825
弘一,1.0,0.791
こういち,1.0,0.791
直紀,1.0,0.791
玲奈,0.048,0.822
井上,0.538,0.79
佑太,1.0,0.783
由香里,0.0,0.805
もえ,0.143,0.795
雄一郎,1.0,0.782
美恵子,0.0,0.789
友哉,1.0,0.804
有紗,0.0,0.788
たくみ,1.0,0.788
岡本,0.714,0.794
秀行,1.0,0.788
のぞみ,0.0,0.831
勇一,1.0,0.788
省吾,1.0,0.807
みずき,0.231,0.788
ケイ,0.625,0.807
賢太郎,1.0,0.787
理紗,0.0,0.793
将也,0.917,0.78
春菜,0.0,0.793
ひなた,0.174,0.828
孝之,1.0,0.779
正治,0.933,0.806
松本,0.615,0.786
一徳,1.0,0.792
上田,0.706,0.806
駿介,1.0,0.786
洋輔,1.0,0.779
麗奈,0.0,0.779
真樹,0.562,0.805
邦子,0.0,0.785
敏彦,1.0,0.778
菜摘,0.0,0.791
伸也,1.0,0.778
まなみ,0.0,0.796
翔吾,1.0,0.778
彩花,0.0,0.831
謙一,1.0,0.795
陽菜,0.0,0.784
勇輝,1.0,0.813
一雄,0.96,0.825
友和,1.0,0.815
優介,1.0,0.776
徹也,1.0,0.789
邦夫,1.0,0.783
康彦,1.0,0.776
圭太,1.0,0.782
健治,1.0,0.805
一博,0.872,0.839
美子,0.0,0.847
秀美,0.015,0.861
光輝,0.988,0.852
美和子,0.0,0.774
澄子,0.0,0.773
こう,0.857,0.801
孝夫,1.0,0.773
ちえ,0.0,0.804
真一郎,0.909,0.772
和夫,1.0,0.791
寿子,0.0,0.791
圭司,1.0,0.771
橋本,0.667,0.785
優也,1.0,0.771
ひろゆき,1.0,0.785
くみこ,0.0,0.778
正義,0.96,0.848
中島,0.846,0.799
とも,0.667,0.778
寛子,0.0,0.79
和真,0.867,0.794
夏美,0.0,0.805
昌彦,1.0,0.784
慶太,0.933,0.794
まり子,0.091,0.777
靖子,0.0,0.777
隆行,1.0,0.789
春樹,1.0,0.815
耕平,1.0,0.783
龍太郎,1.0,0.777
勝彦,1.0,0.788
美波,0.0,0.788
英之,1.0,0.776
はるな,0.067,0.792
理奈,0.0,0.792
一真,0.786,0.787
中野,0.846,0.791
順也,1.0,0.767
朱美,0.0,0.767
弘之,1.0,0.791
照子,0.0,0.78
かいと,1.0,0.785
和広,1.0,0.766
昌美,0.111,0.801
まゆ,0.0,0.785
朋美,0.0,0.785
茂樹,0.909,0.765
俊哉,1.0,0.784
しょう,0.833,0.8
正子,0.0,0.772
範子,0.0,0.765
幸代,0.077,0.778
秀人,1.0,0.792
英夫,1.0,0.771
美沙,0.0,0.817
明彦,0.867,0.792
秀子,0.0,0.817
つとむ,1.0,0.763
義則,1.0,0.782
隆広,1.0,0.782
拓磨,0.909,0.763
佑樹,1.0,0.77
ケン,0.778,0.81
彩加,0.0,0.77
大雅,0.8,0.786
りお,0.154,0.776
雅弘,0.917,0.77
克也,1.0,0.769
まや,0.069,0.819
ミカ,0.053,0.802
篤志,1.0,0.768
はる,0.438,0.788
佐知子,0.091,0.768
小川,0.812,0.828
一平,0.746,0.83
英俊,0.943,0.838
公子,0.389,0.8
彩華,0.0,0.829
勝利,0.979,0.828
百合,0.078,0.831
美知子,0.0,0.756
宮本,0.533,0.799
浩史,1.0,0.771
伸一郎,1.0,0.756
山崎,0.5,0.792
和馬,1.0,0.755
さとし,1.0,0.776
こずえ,0.0,0.755
かずや,0.909,0.763
大悟,1.0,0.755
幹太,1.0,0.755
友樹,1.0,0.755
勝己,1.0,0.754
瑠美,0.0,0.769
みゆ,0.0,0.775
静子,0.091,0.769
裕美子,0.0,0.769
ハルミ,0.0,0.762
朝子,0.0,0.762
リカルド,1.0,0.807
一弘,1.0,0.783
阿部,0.3,0.753
広美,0.167,0.768
山口,1.0,0.768
まさ,0.9,0.753
真希,0.062,0.829
だいき,0.909,0.761
和輝,0.857,0.799
さき,0.0,0.792
将平,0.917,0.767
いづみ,0.048,0.799
直幸,1.0,0.752
リサ,0.067,0.782
友里,0.0,0.751
青木,0.833,0.766
光司,1.0,0.759
まき,0.0,0.766
隆博,1.0,0.758
大作,1.0,0.765
美代子,0.0,0.765
慎吾,0.941,0.787
エリカ,0.125,0.786
ゆうと,1.0,0.764
シン,0.643,0.786
なおこ,0.0,0.77
琴乃,0.0,0.749
友理,0.0,0.757
真琴,0.294,0.785
真太郎,1.0,0.756
愛実,0.0,0.763
